,index,Command,Check,Page,SAD,ADD,DATA,MSB,LSB,Comment
0,0,WR-Reg, CHECK: O, PAGE: 0, SAD: 6C, ADD: FE, DATA: 00,,,
1,1,WR-Reg, CHECK: O, PAGE: 0, SAD: 6C, ADD: 01, DATA: 01,,,
2,2,WR-Reg, CHECK: O, PAGE: 0, SAD: 6C, ADD: 00, DATA: 01,,,
3,3,WR-Reg, CHECK: O, PAGE: 0, SAD: 6C, ADD: 03, DATA: 61,,,
4,4,WR-Reg, CHECK: O, PAGE: 0, SAD: 6C, ADD: 09, DATA: C3,,,
5,5,WR-Reg, CHECK: O, PAGE: 0, SAD: 6C, ADD: 0A, DATA: 01,,,
6,6,WR-Reg, CHECK: O, PAGE: 0, SAD: 6C, ADD: 0B, DATA: 31,,,
7,7,WR-Reg, CHECK: O, PAGE: 0, SAD: 6C, ADD: 0C, DATA: 33,,,
8,8,WR-Reg, CHECK: O, PAGE: 0, SAD: 6C, ADD: 14, DATA: 7D,,,
9,9,WR-Reg, CHECK: O, PAGE: 0, SAD: 6C, ADD: 15, DATA: 1D,,,
10,10,WR-Reg, CHECK: O, PAGE: 0, SAD: 6C, ADD: 16, DATA: F5,,,
11,11,WR-Reg, CHECK: O, PAGE: 0, SAD: 6C, ADD: 18, DATA: 83,,,
12,12,WR-Reg, CHECK: O, PAGE: 0, SAD: 6C, ADD: 19, DATA: 01,,,
13,13,WR-Reg, CHECK: O, PAGE: 0, SAD: 6C, ADD: 1A, DATA: 0F,,,
14,14,WR-Reg, CHECK: O, PAGE: 0, SAD: 6C, ADD: 1B, DATA: 04,,,
15,15,WR-Reg, CHECK: O, PAGE: 0, SAD: 6C, ADD: 1C, DATA: 06,,,
16,16,WR-Reg, CHECK: O, PAGE: 0, SAD: 6C, ADD: 1D, DATA: 44,,,
17,17,WR-Reg, CHECK: O, PAGE: 0, SAD: 6C, ADD: 24, DATA: 2C,,,
18,18,WR-Reg, CHECK: O, PAGE: 0, SAD: 6C, ADD: 25, DATA: B0,,,
19,19,WR-Reg, CHECK: O, PAGE: 0, SAD: 6C, ADD: 26, DATA: 2C,,,
20,20,WR-Reg, CHECK: O, PAGE: 0, SAD: 6C, ADD: 27, DATA: A0,,,
21,21,WR-Reg, CHECK: O, PAGE: 0, SAD: 6C, ADD: 28, DATA: 03,,,
22,22,WR-Reg, CHECK: O, PAGE: 0, SAD: 6C, ADD: 29, DATA: 63,,,
23,23,WR-Reg, CHECK: O, PAGE: 0, SAD: 6C, ADD: 2A, DATA: 03,,,
24,24,WR-Reg, CHECK: O, PAGE: 0, SAD: 6C, ADD: 2B, DATA: 63,,,
25,25,WR-Reg, CHECK: O, PAGE: 0, SAD: 6C, ADD: 2C, DATA: 01,,,
26,26,WR-Reg, CHECK: O, PAGE: 0, SAD: 6C, ADD: 2D, DATA: 61,,,
27,27,WR-Reg, CHECK: O, PAGE: 0, SAD: 6C, ADD: 2E, DATA: 02,,,
28,28,WR-Reg, CHECK: O, PAGE: 0, SAD: 6C, ADD: 2F, DATA: 05,,,
29,29,WR-Reg, CHECK: O, PAGE: 0, SAD: 6C, ADD: 35, DATA: 81,,,
30,30,WR-Reg, CHECK: O, PAGE: 0, SAD: 6C, ADD: 30, DATA: 01,,,
31,31,WR-Reg, CHECK: O, PAGE: 0, SAD: 6C, ADD: 50, DATA: 0B,,,
32,32,WR-Reg, CHECK: O, PAGE: 0, SAD: 6C, ADD: 61, DATA: BA,,,
33,33,WR-Reg, CHECK: O, PAGE: 0, SAD: 6C, ADD: 62, DATA: 00,,,
34,34,WR-Reg, CHECK: O, PAGE: 0, SAD: 6C, ADD: 6C, DATA: BC,,,
35,35,WR-Reg, CHECK: O, PAGE: 0, SAD: 6C, ADD: 6D, DATA: 02,,,
36,36,WR-Reg, CHECK: O, PAGE: 0, SAD: 6C, ADD: 6E, DATA: BC,,,
37,37,WR-Reg, CHECK: O, PAGE: 0, SAD: 6C, ADD: 6F, DATA: 02,,,
38,38,WR-Reg, CHECK: O, PAGE: 0, SAD: 6C, ADD: 9C, DATA: 60,,,
39,39,WR-Reg, CHECK: O, PAGE: 0, SAD: 6C, ADD: B7, DATA: 27,,,
40,40,WR-Reg, CHECK: O, PAGE: 0, SAD: 6C, ADD: CF, DATA: 12,,,
41,41,WR-Reg, CHECK: O, PAGE: 0, SAD: 6C, ADD: F5, DATA: 05,,,
42,42,WR-Reg, CHECK: O, PAGE: 0, SAD: 6C, ADD: FF, DATA: F0,,,
43,43,WR-Reg, CHECK: O, PAGE: 0, SAD: 6C, ADD: FE, DATA: 01,,,
44,44,WR-Reg, CHECK: O, PAGE: 0, SAD: 6C, ADD: 0C, DATA: 01,,,
45,45,WR-Reg, CHECK: O, PAGE: 0, SAD: 6C, ADD: 12, DATA: 03,,,
46,46,WR-Reg, CHECK: O, PAGE: 0, SAD: 6C, ADD: 13, DATA: 03,,,
47,47,WR-Reg, CHECK: O, PAGE: 0, SAD: 6C, ADD: 40, DATA: 01,,,
48,48,WR-Reg, CHECK: O, PAGE: 0, SAD: 6C, ADD: 41, DATA: 13,,,
49,49,WR-Reg, CHECK: O, PAGE: 0, SAD: 6C, ADD: 42, DATA: 5F,,,
50,50,WR-Reg, CHECK: O, PAGE: 0, SAD: 6C, ADD: 43, DATA: 4B,,,
