,index,Command,Check,Page,SAD,ADD,DATA,MSB,LSB,Comment
0,0,WR-Reg, CHECK: O, PAGE: 0, SAD: 6F, ADD: FE, DATA: 00,,,
1,1,WR-Reg, CHECK: O, PAGE: 0, SAD: 6F, ADD: 01, DATA: 01,,,
2,2,WR-Reg, CHECK: O, PAGE: 0, SAD: 6F, ADD: 00, DATA: 01,,,
3,3,WR-Reg, CHECK: O, PAGE: 0, SAD: 6F, ADD: 03, DATA: 61,,,
4,4,WR-Reg, CHECK: O, PAGE: 0, SAD: 6F, ADD: 09, DATA: C3,,,
5,5,WR-Reg, CHECK: O, PAGE: 0, SAD: 6F, ADD: 0A, DATA: 01,,,
6,6,WR-Reg, CHECK: O, PAGE: 0, SAD: 6F, ADD: 0B, DATA: 31,,,
7,7,WR-Reg, CHECK: O, PAGE: 0, SAD: 6F, ADD: 0C, DATA: 33,,,
8,8,WR-Reg, CHECK: O, PAGE: 0, SAD: 6F, ADD: 14, DATA: 7D,,,
9,9,WR-Reg, CHECK: O, PAGE: 0, SAD: 6F, ADD: 15, DATA: 1D,,,
10,10,WR-Reg, CHECK: O, PAGE: 0, SAD: 6F, ADD: 16, DATA: F5,,,
11,11,WR-Reg, CHECK: O, PAGE: 0, SAD: 6F, ADD: 18, DATA: 83,,,
12,12,WR-Reg, CHECK: O, PAGE: 0, SAD: 6F, ADD: 19, DATA: 01,,,
13,13,WR-Reg, CHECK: O, PAGE: 0, SAD: 6F, ADD: 1A, DATA: 0F,,,
14,14,WR-Reg, CHECK: O, PAGE: 0, SAD: 6F, ADD: 1B, DATA: 04,,,
15,15,WR-Reg, CHECK: O, PAGE: 0, SAD: 6F, ADD: 1C, DATA: 06,,,
16,16,WR-Reg, CHECK: O, PAGE: 0, SAD: 6F, ADD: 1D, DATA: 44,,,
17,17,WR-Reg, CHECK: O, PAGE: 0, SAD: 6F, ADD: 24, DATA: 2C,,,
18,18,WR-Reg, CHECK: O, PAGE: 0, SAD: 6F, ADD: 25, DATA: B0,,,
19,19,WR-Reg, CHECK: O, PAGE: 0, SAD: 6F, ADD: 26, DATA: 2C,,,
20,20,WR-Reg, CHECK: O, PAGE: 0, SAD: 6F, ADD: 27, DATA: A0,,,
21,21,WR-Reg, CHECK: O, PAGE: 0, SAD: 6F, ADD: 28, DATA: 03,,,
22,22,WR-Reg, CHECK: O, PAGE: 0, SAD: 6F, ADD: 29, DATA: 63,,,
23,23,WR-Reg, CHECK: O, PAGE: 0, SAD: 6F, ADD: 2A, DATA: 03,,,
24,24,WR-Reg, CHECK: O, PAGE: 0, SAD: 6F, ADD: 2B, DATA: 63,,,
25,25,WR-Reg, CHECK: O, PAGE: 0, SAD: 6F, ADD: 2C, DATA: 01,,,
26,26,WR-Reg, CHECK: O, PAGE: 0, SAD: 6F, ADD: 2D, DATA: 61,,,
27,27,WR-Reg, CHECK: O, PAGE: 0, SAD: 6F, ADD: 2E, DATA: 02,,,
28,28,WR-Reg, CHECK: O, PAGE: 0, SAD: 6F, ADD: 2F, DATA: 05,,,
29,29,WR-Reg, CHECK: O, PAGE: 0, SAD: 6F, ADD: 35, DATA: 82,,,
30,30,WR-Reg, CHECK: O, PAGE: 0, SAD: 6F, ADD: 50, DATA: 0B,,,
31,31,WR-Reg, CHECK: O, PAGE: 0, SAD: 6F, ADD: 61, DATA: BA,,,
32,32,WR-Reg, CHECK: O, PAGE: 0, SAD: 6F, ADD: 62, DATA: 00,,,
33,33,WR-Reg, CHECK: O, PAGE: 0, SAD: 6F, ADD: 6C, DATA: BC,,,
34,34,WR-Reg, CHECK: O, PAGE: 0, SAD: 6F, ADD: 6D, DATA: 02,,,
35,35,WR-Reg, CHECK: O, PAGE: 0, SAD: 6F, ADD: 6E, DATA: BC,,,
